"Artifact";"Version";"Scenario";"Description";"Iterations";"Total time (ms)";"Average time (ms)";"Average time (µs)"
"Castle.Core";"v 3.1.0";"MethodInvocation";"Method invocation";10000000;1171.201;0.000;0.117
"Castle.Core";"v 3.1.0";"MethodInvocationWithGenericParameter";"Method invocation (w/ generic param)";10000000;17030.596;0.002;1.703
"Castle.Core";"v 3.1.0";"ProxyGeneration";"Proxy generation";1000;4887.234;4.887;4887.234
"Castle.Core";"v 3.1.0";"ProxyGenerationWithGenericParameter";"Proxy generation (w/ generic param)";1000;4900.969;4.901;4900.969
"Castle.Core";"v 3.1.0";"ProxyInstantiation";"Proxy instantiation";1000000;6222.884;0.006;6.223
"Castle.Core";"v 3.1.0";"ProxyInstantiationWithGenericParameter";"Proxy instantiation (w/ generic param)";1000000;6271.498;0.006;6.271
"LinFu.Core";"v 2.3.0";"MethodInvocation";"Method invocation";10000000;19358.717;0.002;1.936
"LinFu.Core";"v 2.3.0";"MethodInvocationWithGenericParameter";"Method invocation (w/ generic param)";10000000;78770.864;0.008;7.877
"LinFu.Core";"v 2.3.0";"ProxyGeneration";"Proxy generation";1000;6679.920;6.680;6679.920
"LinFu.Core";"v 2.3.0";"ProxyGenerationWithGenericParameter";"Proxy generation (w/ generic param)";1000;7690.109;7.690;7690.109
"LinFu.Core";"v 2.3.0";"ProxyInstantiation";"Proxy instantiation";1000000;1218.432;0.001;1.218
"LinFu.Core";"v 2.3.0";"ProxyInstantiationWithGenericParameter";"Proxy instantiation (w/ generic param)";1000000;1206.713;0.001;1.207
"NProxy.Core";"v 1.2.1";"MethodInvocation";"Method invocation";10000000;1113.396;0.000;0.111
"NProxy.Core";"v 1.2.1";"MethodInvocationWithGenericParameter";"Method invocation (w/ generic param)";10000000;1371.717;0.000;0.137
"NProxy.Core";"v 1.2.1";"ProxyGeneration";"Proxy generation";1000;2041.065;2.041;2041.065
"NProxy.Core";"v 1.2.1";"ProxyGenerationWithGenericParameter";"Proxy generation (w/ generic param)";1000;2069.943;2.070;2069.943
"NProxy.Core";"v 1.2.1";"ProxyInstantiation";"Proxy instantiation";1000000;4015.552;0.004;4.016
"NProxy.Core";"v 1.2.1";"ProxyInstantiationWithGenericParameter";"Proxy instantiation (w/ generic param)";1000000;3998.120;0.004;3.998
